"","Main_return","Main_return_grow","Main_weight"
"1","70.922","8.3166","153.7042"
"2","73.4298","20.4137","180.2018"
"3","74.4349","42.8309","138.4056"
"4","74.0808","47.5422","137.7385"
"5","74.2515","39.2455","136.9894"
"6","70.473","-14.9118","210.0876"
"7","70.1236","-22.945","197.0876"
"8","70.8598","-22.7195","183.3193"
"9","71.4377","-21.7778","188.9722"
"10","74.3726","22.3493","167.953"
"11","72.4521","30.5825","159.5659"
"12","71.422","23.201","155.3858"
"13","70.7082","22.3686","168.2999"
"14","69.0563","10.6303","170.5993"
"15","73.6801","1939.9167","153.0921"
"16","72.9288","1730.5992","172.6982"
"17","71.2943","1395.8253","254.2081"
"18","67.99","450.8059","-170.8623"
"19","69.5092","-75.1408","-152.4168"
"20","68.8586","-66.0839","-354.7191"
"21","67.6613","-60.6404","-301.3872"
"22","68.176","26.7695","708.9962"
"23","66.2688","23.7685","370.587"
"24","66.2596","7.8305","322.9015"
"25","66.5416","26.6368","334.9504"
"26","63.8663","-9.6702","491.9698"
"27","63.6233","6.9745","373.6302"
"28","64.1723","6.1396","337.981"
"29","64.0287","4.9547","454.7201"
"30","62.7156","14.6177","328.3847"
"31","64.4476","14.3902","231.4518"
"32","64.6393","19.0854","222.3154"
"33","63.3547","19.3862","244.1832"
"34","61.9054","19.117","265.2395"
"35","63.3232","24.0328","182.4195"
"36","63.6583","30.3682","174.2526"
"37","60.3061","31.2034","172.1812"
"38","60.4458","52.8768","185.6964"
"39","61.3908","53.7182","156.5919"
"40","61.1903","44.5079","164.5386"
